Text;Size;Color;Angle;Font;Repeat;URL
Felicade;2;Random;Random;Random;Yes;http://tagul.com/go?word=timor
Amor;2;Random;Random;Random;Yes;http://tagul.com/go?word=mar
Tristeza;2;Random;Random;Random;Yes;http://tagul.com/go?word=fronteiras
Angustia;2;Random;Random;Random;Yes;http://tagul.com/go?word=austrália
Paixões;2;Random;Random;Random;Yes;http://tagul.com/go?word=países
Viagens;1;Random;Random;Random;Yes;http://tagul.com/go?word=governo
Europa;1;Random;Random;Random;Yes;http://tagul.com/go?word=leste
Amigos;1;Random;Random;Random;Yes;http://tagul.com/go?word=decisões
Declarações;1;Random;Random;Random;Yes;http://tagul.com/go?word=convenção
Pedidos;1;Random;Random;Random;Yes;http://tagul.com/go?word=nações
Disney;1;Random;Random;Random;Yes;http://tagul.com/go?word=unidas
Gravidez;1;Random;Random;Random;Yes;http://tagul.com/go?word=direito
Casamento;1;Random;Random;Random;Yes;http://tagul.com/go?word=declarando
Lembranças;1;Random;Random;Random;Yes;http://tagul.com/go?word=independência
Filhos;1;Random;Random;Random;Yes;http://tagul.com/go?word=marítima
Família;1;Random;Random;Random;Yes;http://tagul.com/go?word=competência
Mar;1;Random;Random;Random;Yes;http://tagul.com/go?word=mediar
Praia;1;Random;Random;Random;Yes;http://tagul.com/go?word=estabelecimento
Sol;1;Random;Random;Random;Yes;http://tagul.com/go?word=contra
Cachoeira;1;Random;Random;Random;Yes;http://tagul.com/go?word=superfície
Fim de semana;1;Random;Random;Random;Yes;http://tagul.com/go?word=marinha
Namorar;1;Random;Random;Random;Yes;http://tagul.com/go?word=separa
Doces;1;Random;Random;Random;Yes;http://tagul.com/go?word=cálculos
Coração;1;Random;Random;Random;Yes;http://tagul.com/go?word=feitos
Carinho;1;Random;Random;Random;Yes;http://tagul.com/go?word=especialistas
Irmãos;1;Random;Random;Random;Yes;http://tagul.com/go?word=contém
Pai;1;Random;Random;Random;Yes;http://tagul.com/go?word=petróleo
Mãe;1;Random;Random;Random;Yes;http://tagul.com/go?word=gás
Esposa;1;Random;Random;Random;Yes;http://tagul.com/go?word=valor
Marido;1;Random;Random;Random;Yes;http://tagul.com/go?word=bilhões
Trabalho;1;Random;Random;Random;Yes;http://tagul.com/go?word=ambos
Decisões;1;Random;Random;Random;Yes;http://tagul.com/go?word=tentaram
Qualidade;1;Random;Random;Random;Yes;http://tagul.com/go?word=fazer
Compentência;1;Random;Random;Random;Yes;http://tagul.com/go?word=acordos
Trabalhar;1;Random;Random;Random;Yes;http://tagul.com/go?word=território
Happy Hour;1;Random;Random;Random;Yes;http://tagul.com/go?word=marítimo
Meditar;1;Random;Random;Random;Yes;http://tagul.com/go?word=falharam
Construir;1;Random;Random;Random;Yes;http://tagul.com/go?word=não
Reservar;1;Random;Random;Random;Yes;http://tagul.com/go?word=delimitar
Chorar;1;Random;Random;Random;Yes;http://tagul.com/go?word=forma
Sorrir;1;Random;Random;Random;Yes;http://tagul.com/go?word=definitiva
